ADMUnitID, Country, ADMParent, ADMName, ADMLevel,YEAR,tMEANY,tseMEANY,tFGT_0,tseFGT_0,tFGT_1,tseFGT_1,tFGT_2,tseFGT_2,tFGT_0lo,tseFGT_0lo,tGINI,tseGINI,tpoorper,tGE_0,tseGE_0,tGE_1,tseGE_1,tGE_2,tseGE_2,tATK_0_5,tseATK_0_5,tATK_2,tseATK_2,tNUMHH,tNUMHH_W,tNUMPER,tNUMPER_W,
4540069,Malawi,4540040,"Area 44",3,1998,13.4841,1.4924,.55047,.05066,.22615,.03242,.12147,.02287,.28145,.04696,.42661,.01989,7267.85541,.31399,.0322,.32713,.03381,.48161,.07171,.14795,.013941,.45485,.03493,3205,2769,13203,12765,
4540070,Malawi,4540040,"Area 45",3,1998,13.3774,2.1525,.55307,.07554,.22984,.04583,.11959,.03202,.30957,.07492,.38566,.0437,228.97098,.29331,.06349,.30543,.07538,.4164,.15252,.13947,.029891,.41373,.06092,61,61,414,414,
4540071,Malawi,4540040,"Area 46",3,1998,18.4325,2.574,.3943,.05443,.14888,.02717,.07528,.01741,.18059,.03999,.42918,.02765,884.8092,.32656,.04838,.33586,.05047,.50239,.13388,.15234,.020368,.4677,.04634,500,494,2244,2244,
4540072,Malawi,4540040,"Area 47",3,1998,36.9063,4.7446,.13643,.03101,.04203,.01148,.01901,.00614,.04355,.01433,.44884,.02582,749.95571,.35721,.04345,.37304,.05006,.59344,.13013,.16635,.019321,.50063,.04063,1098,1070,5497,5396,
4540073,Malawi,4540040,"Area 49",3,1998,24.8099,2.7048,.30208,.03419,.10916,.01704,.05407,.0104,.12718,.02393,.46711,.02159,4078.38208,.38669,.0393,.39806,.04569,.63501,.13998,.17795,.017155,.52772,.0342,2728,2693,13501,13418,
4540074,Malawi,4540040,"Area 5",3,1998,21.04,5.4883,.31107,.10321,.11065,.04663,.05354,.02913,.12537,.07543,.32693,.0657,69.99075,.28926,.10267,.2851,.11771,.37321,.21599,.13312,.047275,.42578,.09805,34,32,225,177,
4540075,Malawi,4540040,"Area 50",3,1998,11.8564,1.288,.62839,.05092,.26666,.03701,.14393,.0267,.34156,.05603,.42437,.02105,5138.97342,.30546,.03314,.33244,.03695,.51749,.08636,.14719,.014812,.43236,.03533,2016,1965,8178,7924,
4540076,Malawi,4540040,"Area 51",3,1998,13.7717,1.4426,.50217,.06105,.18051,.03335,.08823,.02052,.20939,.04799,.38497,.01639,7280.96283,.25211,.02232,.27377,.02681,.4155,.06493,.12252,.010542,.38357,.02697,4411,4374,14499,14403,
4540077,Malawi,4540040,"Area 52",3,1998,15.9128,2.8456,.51346,.07116,.22981,.04683,.13179,.03328,.29573,.06412,.47702,.02743,1459.76678,.40839,.05212,.4179,.06599,.65196,.2408,.18687,.023154,.54066,.04224,652,643,2843,2783,
4540078,Malawi,4540040,"Area 53",3,1998,19.1348,1.4674,.37586,.03153,.13913,.01639,.06962,.01053,.16593,.02368,.43312,.01671,4490.39942,.32699,.02792,.32907,.02887,.46273,.06203,.1514,.01196,.47406,.02982,2534,2501,11947,11755,
